 YR   MON  TOTAL ClimAdjust  ANOM 
2006   1   25.64   26.55    -0.91
2006   2   26.09   26.76    -0.67
2006   3   26.58   27.29    -0.71
2006   4   27.51   27.83    -0.32
2006   5   27.85   27.94    -0.09
2006   6   27.73   27.73     0.00
2006   7   27.30   27.29     0.01
2006   8   27.16   26.86     0.31
2006   9   27.32   26.72     0.60
2006  10   27.42   26.72     0.70
2006  11   27.70   26.70     0.99
2006  12   27.74   26.60     1.14
2007   1   27.25   26.55     0.70
2007   2   26.90   26.76     0.13
2007   3   27.12   27.29    -0.18
2007   4   27.51   27.83    -0.31
2007   5   27.46   27.94    -0.47
2007   6   27.37   27.73    -0.36
2007   7   26.70   27.29    -0.59
2007   8   26.13   26.86    -0.72
2007   9   25.61   26.72    -1.11
2007  10   25.33   26.72    -1.39
2007  11   25.17   26.70    -1.53
2007  12   25.02   26.60    -1.58
2008   1   24.87   26.55    -1.68
2008   2   25.10   26.76    -1.66
2008   3   26.09   27.29    -1.21
2008   4   26.84   27.83    -0.99
2008   5   27.09   27.94    -0.84
2008   6   27.04   27.73    -0.68
2008   7   26.99   27.29    -0.30
2008   8   26.72   26.86    -0.13
2008   9   26.47   26.72    -0.25
2008  10   26.37   26.72    -0.35
2008  11   26.25   26.70    -0.46
2008  12   25.74   26.60    -0.86
2009   1   25.67   26.55    -0.89
2009   2   25.97   26.76    -0.79
2009   3   26.60   27.29    -0.70
2009   4   27.48   27.83    -0.35
2009   5   27.99   27.94     0.06
2009   6   28.04   27.73     0.31
2009   7   27.77   27.29     0.48
2009   8   27.42   26.86     0.56
2009   9   27.40   26.72     0.68
2009  10   27.61   26.72     0.89
2009  11   28.15   26.70     1.45
2009  12   28.33   26.60     1.73
2010   1   28.06   26.55     1.51
2010   2   28.01   26.76     1.25
2010   3   28.19   27.29     0.90
2010   4   28.21   27.83     0.38
2010   5   27.72   27.94    -0.22
2010   6   27.04   27.73    -0.69
2010   7   26.22   27.29    -1.07
2010   8   25.47   26.86    -1.38
2010   9   25.12   26.72    -1.59
2010  10   25.03   26.72    -1.69
2010  11   25.06   26.70    -1.64
2010  12   25.00   26.60    -1.60
2011   1   25.01   26.55    -1.54
2011   2   25.66   26.76    -1.11
2011   3   26.38   27.29    -0.92
2011   4   27.07   27.83    -0.76
2011   5   27.41   27.94    -0.52
2011   6   27.35   27.73    -0.38
2011   7   26.87   27.29    -0.42
2011   8   26.21   26.86    -0.64
2011   9   25.92   26.72    -0.80
2011  10   25.67   26.72    -1.05
2011  11   25.52   26.70    -1.18
2011  12   25.55   26.60    -1.05
2012   1   25.68   26.55    -0.87
2012   2   26.10   26.76    -0.67
2012   3   26.69   27.29    -0.61
2012   4   27.33   27.83    -0.49
2012   5   27.62   27.94    -0.32
2012   6   27.75   27.73     0.02
2012   7   27.54   27.29     0.25
2012   8   27.32   26.86     0.47
2012   9   27.10   26.72     0.38
2012  10   26.98   26.72     0.26
2012  11   26.86   26.70     0.15
2012  12   26.35   26.60    -0.25
2013   1   26.02   26.55    -0.53
2013   2   26.25   26.76    -0.51
2013   3   27.04   27.29    -0.25
2013   4   27.58   27.83    -0.25
2013   5   27.53   27.94    -0.40
2013   6   27.30   27.73    -0.43
2013   7   26.90   27.29    -0.39
2013   8   26.47   26.86    -0.38
2013   9   26.53   26.72    -0.18
2013  10   26.52   26.72    -0.20
2013  11   26.56   26.70    -0.14
2013  12   26.43   26.60    -0.17
2014   1   26.06   26.55    -0.49
2014   2   26.15   26.76    -0.61
2014   3   27.02   27.29    -0.28
2014   4   27.91   27.83     0.09
2014   5   28.26   27.94     0.32
2014   6   27.96   27.73     0.23
2014   7   27.23   27.29    -0.06
2014   8   26.83   26.86    -0.03
2014   9   27.01   26.72     0.29
2014  10   27.16   26.72     0.44
2014  11   27.46   26.70     0.75
2014  12   27.32   26.60     0.72
2015   1   27.06   26.55     0.51
2015   2   27.18   26.76     0.42
2015   3   27.77   27.29     0.47
2015   4   28.53   27.83     0.70
2015   5   28.85   27.94     0.92
2015   6   28.90   27.73     1.17
2015   7   28.75   27.29     1.45
2015   8   28.78   26.86     1.93
2015   9   28.92   26.72     2.20
2015  10   29.07   26.72     2.36
2015  11   29.41   26.70     2.71
2015  12   29.26   26.60     2.65
2016   1   29.11   26.55     2.56
2016   2   29.00   26.76     2.24
2016   3   28.90   27.29     1.61
2016   4   28.73   27.83     0.90
2016   5   28.24   27.94     0.30
2016   6   27.70   27.73    -0.03
2016   7   26.82   27.29    -0.47
2016   8   26.28   26.86    -0.57
2016   9   26.15   26.72    -0.57
2016  10   25.98   26.72    -0.74
2016  11   25.95   26.70    -0.76
2016  12   26.10   26.60    -0.50
2017   1   26.12   26.55    -0.43
2017   2   26.68   26.76    -0.08
2017   3   27.33   27.29     0.03
2017   4   28.04   27.83     0.21
2017   5   28.30   27.94     0.36
2017   6   28.06   27.73     0.33
2017   7   27.54   27.29     0.25
2017   8   26.70   26.86    -0.16
2017   9   26.29   26.72    -0.43
2017  10   26.15   26.72    -0.56
2017  11   25.74   26.70    -0.96
2017  12   25.62   26.60    -0.99
2018   1   25.57   26.55    -0.98
2018   2   25.98   26.76    -0.78
2018   3   26.50   27.29    -0.80
2018   4   27.32   27.83    -0.51
2018   5   27.74   27.94    -0.20
2018   6   27.77   27.73     0.05
2018   7   27.42   27.29     0.12
2018   8   26.95   26.86     0.09
2018   9   27.19   26.72     0.47
2018  10   27.62   26.72     0.90
2018  11   27.61   26.70     0.90
2018  12   27.49   26.60     0.89
2019   1   27.20   26.55     0.65
2019   2   27.48   26.76     0.71
2019   3   28.10   27.29     0.80
2019   4   28.45   27.83     0.62
2019   5   28.49   27.94     0.55
2019   6   28.18   27.73     0.45
2019   7   27.64   27.29     0.35
2019   8   26.90   26.86     0.04
2019   9   26.75   26.72     0.04
2019  10   27.20   26.72     0.48
2019  11   27.23   26.70     0.52
2019  12   27.12   26.60     0.52
2020   1   27.16   26.55     0.60
2020   2   27.13   26.76     0.37
2020   3   27.77   27.29     0.48
2020   4   28.19   27.83     0.36
2020   5   27.66   27.94    -0.27
2020   6   27.39   27.73    -0.34
2020   7   26.99   27.29    -0.30
2020   8   26.27   26.86    -0.59
2020   9   25.89   26.72    -0.83
2020  10   25.46   26.72    -1.25
2020  11   25.28   26.70    -1.42
2020  12   25.45   26.60    -1.15
